Id,Name
7051,Mutual St / Shuter St
7143,Kendal Ave / Bernard Ave
7113,Parliament St / Aberdeen Ave
7077,College Park South
7079,McGill St / Church St
7021,Bay St / Albert St
7161,Beverley St / College St
7195,Ulster St / Bathurst St
7017,Widmer St / Adelaide St W - SMART
7009,King St E / Jarvis St
7032,Augusta Ave / Dundas St W
7177,East Liberty St / Pirandello St
7045,Bond St / Queen St E
7158,King St W / Stafford St
7022,Simcoe St / Queen St W
7028,Gould St / Mutual St
7038,Dundas St W / Yonge St
7130,Davenport Rd / Bedford Rd
7042,Sherbourne St / Wellesley St E
7160,King St W / Tecumseth St
7004,University Ave / Elm St
7163,Yonge St / Wood St
7164,Gould St / Yonge St (TMU)
7050,Richmond St E / Jarvis St Green P
7133,Summerhill Subway Station
7192,Harbord St / Clinton St
7070,25 York St ? Union Station South
7059,Front St W / Blue Jays Way
7047,University Ave / Gerrard St W (East Side)
7023,College St / Borden St
7073,Spadina Ave / Fort York Blvd
7054,Navy Wharf Crt / Bremner Blvd
7065,Dundas St E / Parliament St
7122,Niagara St / Tecumseth St
7094,14 Arundel Ave
7033,Union Station
7034,Church St / Bloor St E
7144,Palmerston Ave / Vermont Ave
7202,Queen St W / Bay St (City Hall)
7093,Danforth Ave / Gough Ave
7039,Simcoe St / Michael Sweet Ave - SMART
7006,Bay St / College St (East Side)
7005,King St W / York St
7057,Simcoe St / Wellington St W South
7026,Bay St / St. Joseph St
7046,Niagara St / Richmond St W
7048,Front St W / Yonge St (Hockey Hall of Fame)
7203,Bathurst St/Queens Quay(Billy Bishop Airport)
7193,Dufferin St / Queen St W
7000,Fort York  Blvd / Capreol Ct
7078,College St / Major St
7044,Church St / Alexander St
7100,Dundas St E / Regent Park Blvd
7169,Front St W / Bay St (North Side)
7015,King St W / Bay St (West Side)
7168,Queens Quay / Yonge St
7019,Temperance St Station
7147,King St W / Fraser Ave
7127,Bay St / Scollard St
7011,Wellington St W / Portland St
7109,Seaton St / Dundas St E - SMART
7207,Dundas St W / Crawford St
7060,Princess St / Adelaide St E
7136,Queen St W / Close Ave
7052,Wellington St W / Bay St
7031,Jarvis St / Isabella St
7153,Bloor St W / Christie St
7035,Queen St W / Ossington Ave
7027,Beverley St / Dundas St W
7102,Nelson St / Duncan St
7016,Bay St / Queens Quay W (Ferry Terminal)
7197,Queen St W / Dovercourt Rd
7075,Queens Quay W / Dan Leckie Way
7013,Scott St / The Esplanade
7037,Bathurst St / Dundas St W
7002,St. George St / Bloor St W
7030,Bay St / Wellesley St W
7020,Phoebe St / Spadina Ave
7101,Lower Sherbourne St / The Esplanade
7196,Roxton Rd / Harbord St
7067,Yonge St / Harbour St
7064,51 Parliament St
7120,Gerrard St E / River St
7123,424 Wellington St W - SMART
7171,Ontario Place Blvd / Lake Shore Blvd W
7148,King St W / Joe Shuster Way
7068,Dockside Dr / Queens Quay E (Sugar Beach)
7014,Sherbourne St / Carlton St (Allan Gardens)
7049,Portland St / Queen St W
7216,Wellington St W / Stafford St
7204,College St / Crawford St
7176,Bathurst St / Fort York Blvd
7121,Jarvis St / Dundas St E
7074,Spadina Ave / Sussex Ave
7055,Jarvis St / Carlton St
7076,York St / Queens Quay W
7116,Bloor St E / Parliament St
7210,Mary McCormick Rec Centre (Sheridan Ave)
7041,Edward St / Yonge St
7087,Danforth Ave / Aldridge Ave
7069,Queen St W / Spadina Ave
7199,College St / Markham St
7167,Queen St E / George St (Moss Park)
7117,Castle Frank Station
7173,Cariboo Ave / Railpath Trail
7149,Yarmouth Rd / Christie St
7189,Augusta Ave / Denison Sq
7036,Trinity St /Front St E
7025,Ted Rogers Way / Bloor St E
7018,Bremner Blvd / Rees St
7129,Davenport Rd / Avenue Rd
7003,Madison Ave / Bloor St W
7010,King St W / Spadina Ave
7029,Bay St / Bloor St W (East Side)
7095,Danforth Ave / Ellerbeck St
7175,HTO Park (Queens Quay W)
7089,Church St  / Wood St
7115,Howard St / Sherbourne St
7104,King St E / River St
7097,Riverdale Park North (Broadview Ave)
7024,Dundonald St / Church St
7072,Fleet St / Bathurst St
7063,Queen's Park / Bloor St W
7190,St. George St / Hoskin Ave
7126,Yonge St / Yorkville Ave
7156,Salem Ave / Bloor St W
7012,Elizabeth St / Edward St (Bus Terminal)
7053,Metro Hall Plaza
7135,Hanna Ave / Liberty St
7114,Carlton St / Parliament St
7008,Wellesley St W / Queen's Park Cres
7007,College St / Huron St
7172,Strachan Ave / Princes' Blvd
7098,"Riverdale Park South (Broadview Ave, old)"
7056,Parliament St / Gerrard St
7162,Hayter St / La Plante Ave
7174,Bloor St W / Dundas St W
7061,Dalton Rd / Bloor St W
7208,80 Clinton St
7118,King St W / Bay St (East Side)
7103,Jimmie Simpson Park (Queen St E)
7686,Lower Jarvis St / The Esplanade
7205,Rusholme Park Cres / College St
7043,Queens Quay W / Lower Simcoe St
7040,Euclid Ave / Bloor St W
7058,Huron St / Harbord St
7188,Exhibition GO (Atlantic Ave)
7066,Willcocks St / St. George St
7211,Fort York Blvd / Garrison Rd
7099,Cherry St / Mill St
7146,Christie St / Benson Ave (Wychwood Barns)
7140,Macpherson Ave / Spadina Rd
7111,King St W / Douro St
7139,Glen Edyth Dr / Davenport Rd
7071,161 Bleecker St (South of Wellesley)
7119,Sumach St / Carlton St (Riverdale Farm)
7108,Front St E / Cherry St
7107,Cherry St / Distillery Ln
7110,Queen St E / Berkeley St
7062,University Ave / College St (West)
7105,Queen St E / Sackville St
7090,Danforth Ave / Lamb Ave
7092,Pape Subway Green P
7183,St Clarens Ave / College St
7155,Bathurst St / Lennox St
7191,Central Tech  (Harbord St)
7184,Ossington Ave / College St
7132,Kendal Ave / Spadina Rd
7170,Spadina Ave / Willcocks St
7091,Donlands Subway Station
7198,Queen St W / Cowan Ave
7150,Dufferin St / Sylvan Av (Dufferin Grove Park)
7209,Ossington Ave / Harrison St
7124,Dundas St E / Broadview Ave
7152,Ossington Ave / Bloor St W
7096,Boston Ave / Queen St E
7154,Bathurst Subway Station
7112,Liberty St / Fraser Ave Green P
7141,Bridgman Ave / Kendal Ave
7206,Claremont St / Dundas St W
7131,Taddle Creek Park
7179,Bloor GO / UP Station (West Toronto Railpath)
7084,Stephenson Ave / Main St
7151,Essex St / Christie St - SMART
7142,Bridgman Ave / Bathurst St
7157,Dufferin St / Bloor St W
7182,Sterling Rd / Dundas St W
7106,Mill St / Tannery Rd
7138,Davenport Rd / Christie St
7180,Lansdowne Subway Station
7137,Davenport Rd / Bathurst St
7178,Dundas St W / Edna Ave
7128,Yonge St / Aylmer Ave
7134,Marlborough Ave / Yonge St
7194,Mortimer Ave / Coxwell Ave
7086,Woodbine Subway Green P (Cedarvale Ave)
7088,Danforth Ave / Coxwell Ave
7083,Danforth Ave / Barrington Ave
7085,Danforth Ave / Westlake Ave
7181,Lansdowne Ave / Whytock Ave
7235,Bay St / College St (West Side) - SMART
7283,Front St W / Bay St (South Side)
7241,519 Church St
7276,Bloor St W / Balmuto St
7239,Bloor St W / Manning Ave - SMART
7220,Lake Shore Blvd W / Ellis Ave
7260,Spadina Ave / Adelaide St W
7267,Dundas St E / Pembroke St - SMART
7275,Queen St W / James St
7271,Yonge St / Alexander St - SMART
7254,Borden St / Bloor St W - SMART
